timestamp,window,forecast_range,train_loss,val_loss
2023-04-19 21:02:09,96,4,"[585.1338500976562, 557.169677734375, 528.1705932617188, 504.50128173828125, 484.6185607910156, 467.5011901855469, 452.5839538574219, 439.4143371582031, 427.6491394042969, 417.0325012207031, 407.5738220214844, 399.3040771484375, 392.0072021484375, 385.5181884765625, 379.7091369628906, 374.4793395996094, 369.7480773925781, 365.4499206542969, 361.5307312011719, 357.9456787109375, 354.6566162109375, 351.6314392089844, 348.84234619140625, 346.26556396484375, 343.8802185058594, 341.6681823730469, 339.6134033203125, 337.70196533203125, 335.92138671875, 334.2604675292969, 332.7093811035156, 331.2591552734375, 329.90185546875, 328.63031005859375, 327.43804931640625, 326.3190612792969, 325.2680358886719, 324.2801208496094, 323.3508605957031, 322.4761962890625, 321.6523132324219, 320.8759765625, 320.1438903808594, 319.4532165527344, 318.80126953125, 318.1856384277344, 317.60400390625, 317.0542297363281, 316.5344543457031, 316.04278564453125, 315.57757568359375, 315.1372375488281, 314.7203674316406, 314.32550048828125, 313.951416015625, 313.5969543457031, 313.26092529296875, 312.9423522949219, 312.6402893066406, 312.3537902832031]","[248.06988525390625, 226.01626586914062, 208.77017211914062, 194.95944213867188, 183.591796875, 174.0615997314453, 165.9389190673828, 158.93348693847656, 152.8284149169922, 147.4484405517578, 142.88174438476562, 138.95774841308594, 135.55177307128906, 132.57070922851562, 129.9437255859375, 127.61559295654297, 125.54209899902344, 123.68734741210938, 122.02188110351562, 120.52117919921875, 119.1646499633789, 117.9349136352539, 116.81715393066406, 115.79866790771484, 114.86852264404297, 114.01720428466797, 113.23650360107422, 112.51922607421875, 111.85909271240234, 111.25047302246094, 110.68851470947266, 110.1688461303711, 109.6876449584961, 109.24143981933594, 108.82720184326172, 108.44214630126953, 108.08382415771484, 107.7500228881836, 107.43873596191406, 107.1481704711914, 106.8766860961914, 106.62281799316406, 106.38520812988281, 106.16264343261719, 105.95401000976562, 105.75829315185547, 105.5745620727539, 105.40198516845703, 105.23976135253906, 105.0871810913086, 104.94359588623047, 104.80841827392578, 104.68104553222656, 104.56099700927734, 104.44779968261719, 104.34099578857422, 104.24019622802734, 104.14502716064453, 104.05512237548828, 103.97016906738281]"
2023-04-19 21:19:16,96,48,"[593.0601196289062, 561.4072265625, 532.8701782226562, 509.162353515625, 488.7514953613281, 471.02410888671875, 455.47601318359375, 441.68072509765625, 429.30780029296875, 418.0673522949219, 407.84515380859375, 398.9143981933594, 391.0426025390625, 384.05499267578125, 377.8114318847656, 372.2000427246094, 367.1309814453125, 362.5315856933594, 358.34228515625, 354.5135803222656, 351.0039367675781, 347.77813720703125, 344.80609130859375, 342.0618591308594, 339.52288818359375, 337.1696472167969, 334.9847412109375, 332.953125, 331.061279296875, 329.2972717285156, 327.65045166015625, 326.1112365722656, 324.67108154296875, 323.3222351074219, 322.05780029296875, 320.8713684082031, 319.7572326660156, 318.710205078125, 317.7254943847656, 316.798828125, 315.9261169433594, 315.10382080078125, 314.3284912109375, 313.59716796875, 312.90692138671875, 312.255126953125, 311.63946533203125, 311.0575256347656, 310.5073547363281, 309.9869689941406, 309.4946594238281, 309.02862548828125, 308.5874328613281, 308.1695861816406, 307.7737121582031, 307.39862060546875, 307.04302978515625, 306.7059326171875, 306.3862609863281, 306.08306884765625]","[245.2277374267578, 223.8734893798828, 207.4720916748047, 193.9183349609375, 182.59161376953125, 173.0402069091797, 164.87496948242188, 157.813720703125, 151.64547729492188, 146.14649963378906, 141.42454528808594, 137.3917694091797, 133.9065704345703, 130.8692626953125, 128.20339965820312, 125.84942626953125, 123.76004028320312, 121.89717864990234, 120.2296371459961, 118.7315902709961, 117.38143920898438, 116.16096496582031, 115.05472564697266, 114.04949951171875, 113.13389587402344, 112.2981185913086, 111.53361511230469, 110.83297729492188, 110.18968963623047, 109.59806823730469, 109.05305480957031, 108.55023193359375, 108.08562469482422, 107.65576171875, 107.25751495361328, 106.88810729980469, 106.5450210571289, 106.22603607177734, 105.92914581298828, 105.65251922607422, 105.39453125, 105.15367889404297, 104.92865753173828, 104.71821594238281, 104.52125549316406, 104.33678436279297, 104.16385650634766, 104.00167083740234, 103.84940338134766, 103.7063980102539, 103.5719985961914, 103.44559478759766, 103.32666015625, 103.21470642089844, 103.10923767089844, 103.00984191894531, 102.91612243652344, 102.82772827148438, 102.74430084228516, 102.66553497314453]"
2023-04-19 21:46:34,192,4,"[580.4218139648438, 527.8548583984375, 488.46124267578125, 458.5488586425781, 434.72222900390625, 415.0248107910156, 398.29437255859375, 383.79736328125, 371.0582275390625, 359.7479248046875, 349.8435974121094, 341.3249816894531, 333.9276123046875, 327.4519348144531, 321.743896484375, 316.6823425292969, 312.17059326171875, 308.1302185058594, 304.4968566894531, 301.21728515625, 298.246826171875, 295.5479431152344, 293.0889587402344, 290.84185791015625, 288.7840270996094, 286.89501953125, 285.1572265625, 283.5555114746094, 282.07635498046875, 280.7081604003906, 279.4403076171875, 278.2638244628906, 277.17059326171875, 276.1532287597656, 275.205322265625, 274.3211364746094, 273.495361328125, 272.723388671875, 272.0010681152344, 271.3244323730469, 270.69012451171875, 270.09490966796875, 269.5359802246094, 269.0107421875, 268.51678466796875, 268.0519714355469, 267.6142578125, 267.20184326171875, 266.8131103515625, 266.4464111328125, 266.1003112792969, 265.7735290527344, 265.46490478515625]","[232.18336486816406, 202.12640380859375, 181.51478576660156, 166.307861328125, 154.65878295898438, 145.42794799804688, 137.8992462158203, 131.6474609375, 126.39724731445312, 121.95894622802734, 118.35138702392578, 115.39783477783203, 112.96329498291016, 110.94452667236328, 109.26234436035156, 107.8548812866211, 106.67323303222656, 105.67832946777344, 104.83866882324219, 104.12872314453125, 103.52753448486328, 103.01792907714844, 102.58555603027344, 102.21867370605469, 101.90742492675781, 101.6435317993164, 101.42005920410156, 101.23104095458984, 101.07161712646484, 100.93749237060547, 100.8250961303711, 100.73136138916016, 100.65362548828125, 100.58966827392578, 100.53756713867188, 100.49563598632812, 100.46246337890625, 100.43677520751953, 100.41752624511719, 100.40377044677734, 100.39474487304688, 100.38971710205078, 100.38809967041016, 100.38937377929688, 100.3930892944336, 100.3988265991211, 100.40628814697266, 100.4151382446289, 100.42513275146484, 100.43604278564453, 100.44768524169922, 100.45991516113281, 100.47254180908203]"
2023-04-19 22:10:26,192,48,"[584.9066162109375, 533.9695434570312, 495.300537109375, 465.1039123535156, 440.71966552734375, 420.39617919921875, 403.0539245605469, 387.9792175292969, 374.6993103027344, 362.88458251953125, 352.5481262207031, 343.6419982910156, 335.896484375, 329.1071472167969, 323.1156921386719, 317.7975158691406, 313.05267333984375, 308.8000793457031, 304.97320556640625, 301.5166320800781, 298.384033203125, 295.53631591796875, 292.940185546875, 290.5672912597656, 288.3931579589844, 286.39666748046875, 284.5594482421875, 282.865478515625, 281.30072021484375, 279.8529052734375, 278.5110778808594, 277.2657165527344, 276.10809326171875, 275.0307312011719, 274.0267639160156, 273.0900573730469, 272.2151794433594, 271.3971862792969, 270.6315612792969, 269.91436767578125, 269.2419128417969, 268.61090087890625, 268.0182800292969, 267.4613342285156]","[224.3818359375, 196.7064971923828, 177.01048278808594, 162.2551727294922, 150.8794708251953, 141.88624572753906, 134.5824737548828, 128.54220581054688, 123.49368286132812, 119.24932098388672, 115.82047271728516, 113.03184509277344, 110.75118255615234, 108.8775634765625, 107.33316040039062, 106.05693817138672, 105.00067901611328, 104.12579345703125, 103.40108489990234, 102.80111694335938, 102.30520629882812, 101.8963623046875, 101.56047058105469, 101.28597259521484, 101.06315612792969, 100.88378143310547, 100.74098205566406, 100.62908935546875, 100.54332733154297, 100.47956085205078, 100.43433380126953, 100.40467834472656, 100.38813018798828, 100.38255310058594, 100.38613891601562, 100.39733123779297, 100.41480255126953, 100.43740844726562, 100.4642333984375, 100.4944076538086, 100.52726745605469, 100.56217193603516, 100.59862518310547, 100.6362075805664]"
2023-04-19 22:33:39,192,96,"[589.6771240234375, 538.4270629882812, 498.8951721191406, 468.0574035644531, 443.2361755371094, 422.60040283203125, 405.022216796875, 389.7605895996094, 376.327392578125, 364.38348388671875, 353.9355163574219, 344.9363708496094, 337.1119689941406, 330.2549133300781, 324.2044677734375, 318.83447265625, 314.0437316894531, 309.75042724609375, 305.8869934082031, 302.3976135253906, 299.2354431152344, 296.3609313964844, 293.74053955078125, 291.34552001953125, 289.15118408203125, 287.1361999511719, 285.2820129394531, 283.5724182128906, 281.9932556152344, 280.5321350097656, 279.17803955078125, 277.9212341308594, 276.7530212402344, 275.66583251953125, 274.65264892578125, 273.7074279785156, 272.82452392578125, 271.9990539550781, 271.2264709472656, 270.5027770996094, 269.8241882324219, 269.1873779296875]","[223.61752319335938, 195.71444702148438, 175.79209899902344, 160.97267150878906, 149.5986785888672, 140.6429901123047, 133.395263671875, 127.41893768310547, 122.4386978149414, 118.26513671875, 114.90400695800781, 112.17991638183594, 109.96041870117188, 108.14444732666016, 106.65425872802734, 105.42904663085938, 104.42069244384766, 103.59078979492188, 102.90828704833984, 102.34800720214844, 101.8894271850586, 101.51568603515625, 101.21288299560547, 100.96949768066406, 100.77593994140625, 100.62417602539062, 100.5074462890625, 100.42012023925781, 100.35749816894531, 100.31559753417969, 100.2910385131836, 100.28089904785156, 100.28277587890625, 100.2946548461914, 100.3147201538086, 100.34151458740234, 100.3737564086914, 100.41035461425781, 100.4504165649414, 100.4931411743164, 100.53789520263672, 100.58409118652344]"
2023-04-19 22:56:30,384,4,"[570.2059326171875, 491.9305725097656, 442.12158203125, 407.0040588378906, 380.1651611328125, 358.71826171875, 341.13494873046875, 326.4510803222656, 314.06536865234375, 303.524658203125, 294.63726806640625, 287.2766418457031, 281.1220397949219, 275.9241027832031, 271.4951477050781, 267.6917419433594, 264.4027099609375, 261.540283203125, 259.0348205566406, 256.8303527832031, 254.88128662109375, 253.15032958984375, 251.60687255859375]","[196.94044494628906, 163.11256408691406, 143.2670440673828, 130.30857849121094, 121.26406860351562, 114.80503845214844, 110.19945526123047, 106.97679901123047, 104.8147964477539, 103.47262573242188, 102.68450164794922, 102.34152221679688, 102.31053924560547, 102.49658203125, 102.83175659179688, 103.26737213134766, 103.7684097290039, 104.30945587158203, 104.87218475341797, 105.44336700439453, 106.01348876953125, 106.5757827758789, 107.12553405761719]"
2023-04-19 23:19:16,384,48,"[569.7784423828125, 494.8835754394531, 445.82269287109375, 410.6710205078125, 383.58294677734375, 361.83612060546875, 343.9492492675781, 329.001953125, 316.3727722167969, 305.6144714355469, 296.53863525390625, 289.0161437988281, 282.723876953125, 277.4080810546875, 272.87786865234375, 268.9870910644531, 265.6222229003906, 262.6938781738281, 260.1308288574219, 257.8757629394531, 255.88221740722656, 254.1119384765625]","[184.0459442138672, 152.47377014160156, 133.835693359375, 121.73149108886719, 113.36759185791016, 107.48861694335938, 103.39139556884766, 100.62814331054688, 98.88362884521484, 97.92411041259766, 97.46768951416016, 97.41806030273438, 97.64894104003906, 98.06996154785156, 98.61685943603516, 99.24383544921875, 99.91825103759766, 100.61692810058594, 101.32347106933594, 102.02628326416016, 102.71720123291016, 103.3905029296875]"
2023-04-19 23:43:53,384,96,"[574.5406494140625, 498.0617980957031, 448.46746826171875, 412.9245300292969, 385.5533752441406, 363.5873718261719, 345.52252197265625, 330.42706298828125, 317.67236328125, 306.8064270019531, 297.6357727050781, 290.0348815917969, 283.6767272949219, 278.30487060546875, 273.7265625, 269.7940979003906, 266.392822265625, 263.4324645996094, 260.841064453125, 258.560791015625, 256.5447692871094, 254.75430297851562]","[182.27667236328125, 150.90496826171875, 132.36221313476562, 120.3491439819336, 112.06657409667969, 106.256591796875, 102.21851348876953, 99.50608825683594, 97.80543518066406, 96.88371276855469, 96.45541381835938, 96.42808532714844, 96.67672729492188, 97.1119155883789, 97.67017364501953, 98.30635070800781, 98.98827362060547, 99.69300842285156, 100.40422821044922, 101.1104736328125, 101.80386352539062, 102.47898864746094]"
