timestamp,window,forecast_range,train_loss,val_loss
2023-04-19 12:10:57,96,4,"[532.0681762695312, 440.940673828125, 387.96539306640625, 352.8417663574219, 327.376953125, 308.1092529296875, 293.177490234375, 281.42230224609375, 272.0599365234375, 264.5353088378906, 258.44329833984375, 253.48193359375, 249.42189025878906]","[186.978759765625, 150.05520629882812, 130.6924591064453, 119.16238403320312, 112.15556335449219, 108.07154083251953, 105.93629455566406, 105.11245727539062, 105.17224884033203, 105.82345581054688, 106.86453247070312, 108.15508270263672, 109.59661865234375]"
2023-04-19 12:25:46,96,48,"[527.7656860351562, 438.55133056640625, 386.1595458984375, 351.2193908691406, 325.77032470703125, 306.4588928222656, 291.4640197753906, 279.64056396484375, 270.21038818359375, 262.6216735839844, 256.4706726074219, 251.45608520507812, 247.34866333007812]","[183.768310546875, 147.68446350097656, 128.7695770263672, 117.46255493164062, 110.59703063964844, 106.6119613647461, 104.5490951538086, 103.78121185302734, 103.88628387451172, 104.57592010498047, 105.65090942382812, 106.97239685058594, 108.4426498413086]"
2023-04-19 12:43:43,192,4,"[468.2266540527344, 367.0313415527344, 318.8290710449219, 290.5816345214844, 272.91021728515625, 261.3910827636719, 253.6988525390625, 248.4840087890625, 244.91502380371094]","[147.9898223876953, 122.4993896484375, 113.97290802001953, 112.63838958740234, 114.40938568115234, 117.48168182373047, 120.99787139892578, 124.53585052490234, 127.88633728027344]"
2023-04-19 13:04:01,192,48,"[474.6401062011719, 372.6739501953125, 323.3553161621094, 293.8957214355469, 274.97430419921875, 262.3099365234375, 253.54812622070312, 247.61700439453125, 243.52171325683594]","[146.56826782226562, 120.67190551757812, 111.70088195800781, 109.87237548828125, 111.47139739990234, 114.58834838867188, 118.17436981201172, 121.83040618896484, 125.33462524414062]"
2023-04-19 13:25:10,192,96,"[475.4753723144531, 371.6454162597656, 321.261474609375, 291.6122741699219, 273.01202392578125, 260.83721923828125, 252.66864013671875, 247.10182189941406, 243.27005004882812]","[144.3157196044922, 119.49713134765625, 111.22017669677734, 110.3353271484375, 112.55933380126953, 116.05106353759766, 119.94384765625, 123.81578826904297, 127.460693359375]"
2023-04-19 13:51:48,384,4,"[401.96026611328125, 304.2693786621094, 268.9411315917969, 253.30299377441406, 245.85128784179688, 242.1925506591797, 240.3848114013672]","[118.94112396240234, 116.27493286132812, 124.39025115966797, 133.31565856933594, 141.06532287597656, 147.28172302246094, 152.0859375]"
2023-04-19 14:15:53,384,48,"[404.61102294921875, 300.87774658203125, 265.7744140625, 250.7115936279297, 243.77310180664062, 240.4984588623047]","[112.90938568115234, 113.99073791503906, 123.626220703125, 133.42330932617188, 141.5656280517578, 147.8902587890625]"
2023-04-19 14:40:54,384,96,"[402.63427734375, 301.4722900390625, 266.71337890625, 251.50311279296875, 244.41990661621094, 241.05972290039062]","[112.99327850341797, 114.0168685913086, 124.10201263427734, 134.24420166015625, 142.68930053710938, 149.26541137695312]"
